ID,NUTS_NAME
CY00,Κύπρος
CZ01,Praha
CZ02,Střední Čechy
CZ03,Jihozápad
CZ04,Severozápad
CZ05,Severovýchod
CZ06,Jihovýchod
CZ07,Střední Morava
CZ08,Moravskoslezsko
DE11,Stuttgart
DE12,Karlsruhe
DE13,Freiburg
DE14,Tübingen
DE21,Oberbayern
DE22,Niederbayern
DE23,Oberpfalz
DE24,Oberfranken
DE25,Mittelfranken
DE26,Unterfranken
DE27,Schwaben
DE30,Berlin
DEC0,Saarland
DED2,Dresden
DED4,Chemnitz
DED5,Leipzig
DEE0,Sachsen-Anhalt
DEF0,Schleswig-Holstein
DEG0,Thüringen
DK01,Hovedstaden
DK03,Syddanmark
DK04,Midtjylland
DK05,Nordjylland
EE00,Eesti
EL30,Aττική
EL41,Βόρειο Αιγαίο
DE40,Brandenburg
DE50,Bremen
DE60,Hamburg
DE71,Darmstadt
DE72,Gießen
DE73,Kassel
DE80,Mecklenburg-Vorpommern
DE91,Braunschweig
DE92,Hannover
AL01,Veri
AL02,Qender
AL03,Jug
AT11,Burgenland
AT12,Niederösterreich
AT13,Wien
AT21,Kärnten
AT22,Steiermark
AT31,Oberösterreich
AT32,Salzburg
AT33,Tirol
AT34,Vorarlberg
BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest
BE21,Prov. Antwerpen
BE22,Prov. Limburg (BE)
BE23,Prov. Oost-Vlaanderen
BE24,Prov. Vlaams-Brabant
BE25,Prov. West-Vlaanderen
BE31,Prov. Brabant Wallon
BE32,Prov. Hainaut
BE33,Prov. Liège
BE34,Prov. Luxembourg (BE)
BE35,Prov. Namur
BG31,Северозападен
BG32,Северен централен
BG33,Североизточен
BG34,Югоизточен
BG41,Югозападен
BG42,Южен централен
CH01,Région lémanique
CH02,Espace Mittelland
CH03,Nordwestschweiz
CH04,Zürich
CH05,Ostschweiz
CH06,Zentralschweiz
CH07,Ticino
ITG2,Sardegna
ITH1,Provincia Autonoma di Bolzano/Bozen
ITH2,Provincia Autonoma di Trento
ITH3,Veneto
ITH4,Friuli-Venezia Giulia
ITH5,Emilia-Romagna
ITI1,Toscana
ITI2,Umbria
ITI3,Marche
ITI4,Lazio
LI00,Liechtenstein
LT01,Sostinės regionas
TR81,"Zonguldak, Karabük, Bartin"
TR82,"Kastamonu, Çankiri, Sinop"
DE93,Lüneburg
DE94,Weser-Ems
DEA1,Düsseldorf
DEA2,Köln
DEA3,Münster
DEA4,Detmold
DEA5,Arnsberg
DEB1,Koblenz
DEB2,Trier
DEB3,Rheinhessen-Pfalz
LT02,Vidurio ir vakarų Lietuvos regionas
LU00,Luxembourg
LV00,Latvija
ME00,Црна Гора
MK00,Severna Makedonija
MT00,Malta
NL11,Groningen
EL42,Νότιο Αιγαίο
EL43,Κρήτη
EL51,"Aνατολική Μακεδονία, Θράκη"
EL52,Κεντρική Μακεδονία
EL53,Δυτική Μακεδονία
EL54,Ήπειρος
DK02,Sjælland
FRH0,Bretagne
FRI1,Aquitaine
FRI2,Limousin
FRI3,Poitou-Charentes
FRJ1,Languedoc-Roussillon
FRJ2,Midi-Pyrénées
FRK1,Auvergne
FRK2,Rhône-Alpes
FRL0,Provence-Alpes-Côte d’Azur
FRM0,Corse
FRY1,Guadeloupe
FRY2,Martinique
FRY3,Guyane
FRY4,La Réunion
FRY5,Mayotte
HR03,Jadranska Hrvatska
HR04,Kontinentalna Hrvatska
HU11,Budapest
HU12,Pest
HU21,Közép-Dunántúl
HU22,Nyugat-Dunántúl
HU23,Dél-Dunántúl
HU31,Észak-Magyarország
HU32,Észak-Alföld
HU33,Dél-Alföld
IE04,Northern and Western
IE05,Southern
IE06,Eastern and Midland
