Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Part des ménages fiscaux imposés (%),Taux de pauvreté-Ensemble (% pop totale),Taux de pauvreté selon l’âge du référent fiscal (% des moins de 30 ans),Taux de pauvreté selon l’âge du référent fiscal (% des 30 à 39 ans),Taux de pauvreté selon l’âge du référent fiscal (% des 40 à 49 ans),Taux de pauvreté selon l’âge du référent fiscal (% des 50 à 59 ans),Taux de pauvreté selon l’âge du référent fiscal (% des 60 à 74 ans),Taux de pauvreté selon l’âge du référent fiscal (% des 75 ans ou plus),Taux de pauvreté selon le statut d’occupation du logement (propriétaires),Taux de pauvreté selon le statut d’occupation du logement (locataires),Revenu disponible par unité de consommation (Médiane),Revenu disponible par unité de consommation (Rapport inter-décile 9e décile/1er decile),Revenu disponible par unité de consommation (1er décile),Revenu disponible par unité de consommation (9e décile)
11,Île-de-France,4816160,"11815918,5","69,0","15,4","19,5","16,5","17,5","15,7","12,0","7,3","5,6","25,1","22379,0","4,5","10182,7","46038,0"
21,Champagne-Ardenne,564984,"1285373,5","55,6","15,6","27,7","19,2","18,4","14,1","8,8","8,0","6,8","29,2","19261,3","3,3","10456,2","34312,7"
22,Picardie,771322,"1885749,5","55,9","15,7","26,8","18,9","18,5","14,5","8,6","8,0","7,2","31,0","19425,3","3,2","10442,2","33814,4"
23,Haute-Normandie,763812,"1805287,5","57,6","13,6","23,0","16,3","16,3","12,4","7,8","6,1","5,2","26,9","19972,7","3,1","10964,0","34351,9"
24,Centre,1100768,"2519130,5","58,5","12,5","21,6","15,5","14,9","11,7","7,3","7,0","5,8","26,7","20202,0","3,1","11251,8","34751,3"
25,Basse-Normandie,630395,"1431996,0","54,3","13,3","21,9","15,8","16,5","13,0","7,1","8,2","6,7","25,4","19398,1","3,0","11100,0","32917,3"
26,Bourgogne,715868,"1583803,5","57,1","12,9","21,8","15,8","15,7","12,4","7,6","7,9","6,8","26,0","19788,3","3,0","11197,0","33924,5"
31,Nord-Pas-de-Calais,1617736,"3966413,5","50,3","19,4","31,2","22,5","23,1","18,1","10,7","9,7","8,4","35,5","18243,6","3,3","9796,0","32451,0"
41,Lorraine,974538,"2234180,5","52,3","14,4","25,4","18,3","17,3","12,6","8,6","7,6","6,9","28,7","19853,0","3,3","10684,6","35081,9"
42,Alsace,758317,"1786724,0","62,1","12,2","21,7","16,3","14,3","10,4","7,0","5,4","5,0","24,7","21611,3","3,5","11328,8","39292,0"
43,Franche-Comté,499761,"1147468,0","57,5","13,1","21,6","15,8","15,2","11,8","8,2","8,2","6,4","26,9","20023,2","3,1","11140,6","34785,7"
52,Pays de la Loire,1535857,"3598883,0","56,0","10,9","18,1","11,8","12,9","10,6","5,8","7,4","5,4","24,2","19940,9","2,8","11816,0","33250,0"
53,Bretagne,1407647,"3185357,5","56,2","10,7","19,7","12,0","12,4","10,1","5,6","8,2","5,7","23,7","20281,0","2,9","11886,5","34512,0"
54,Poitou-Charentes,784462,"1744652,5","53,4","13,5","23,3","15,3","16,1","13,0","7,8","10,5","7,7","27,2","19505,2","3,1","11014,3","33766,7"
72,Aquitaine,1439846,"3218601,5","55,9","13,1","22,5","15,0","15,3","12,5","7,9","10,0","7,3","23,9","20143,8","3,2","11089,3","35738,5"
73,Midi-Pyrénées,1268822,"2845481,0","55,2","14,1","23,7","15,6","15,9","13,5","9,0","11,8","7,9","26,4","20131,5","3,4","10757,4","36050,7"
74,Limousin,330300,"699785,0","52,7","15,4","27,0","18,2","17,8","14,5","9,3","13,2","9,1","29,9","19155,0","3,1","10459,0","32863,0"
82,Rhône-Alpes,2663171,"6255428,0","60,0","12,3","19,5","14,3","14,2","11,4","8,0","7,5","5,5","23,7","20988,0","3,4","11293,9","38759,3"
83,Auvergne,604411,"1312912,0","53,9","13,5","23,2","15,4","16,2","13,0","8,1","10,1","7,9","26,3","19655,2","3,1","11003,2","34040,0"
91,Languedoc-Roussillon,1189167,"2655364,5","49,9","20,1","31,5","23,7","23,8","20,1","13,4","13,3","10,9","34,7","18371,3","3,6","9364,0","33273,0"
93,Provence-Alpes-Côte d'Azur,2179755,"4915133,5","57,0","17,3","25,2","20,1","20,2","17,5","12,6","10,8","8,0","29,2","19708,1","3,7","9822,3","36652,0"
94,Corse,121727,"269452,0","51,8","20,2","28,6","21,9","22,3","19,7","16,8","18,8","12,1","30,2","18730,7","3,7","9368,0","34823,0"
